car_id,car_price,car_quantity,car_year,car_used,car_mm,car_color
68,37565,11,2009,True,Honda Accord,Grey
69,84952,19,2000,True,Toyota Corolla,White
70,25307,43,2005,True,Jeep Wrangler,Blue
71,51419,50,2013,True,Toyota 4Runner,Green
72,101907,15,2014,True,Dodge Challenger,Green
73,14828,50,2010,True,Toyota RAV4,Red
74,32301,36,2011,True,Chevrolet Tahoe,Light Blue
75,8229,29,2004,True,Audi A3,Light Blue
76,30259,39,2008,True,Jeep Cherokee,Black
77,72604,24,2000,True,Toyota 4Runner,Blue
78,85567,33,2016,True,Cadillac Escalade,Black
79,128483,34,2003,True,Toyota 4Runner,Red
80,19136,22,2003,True,Jeep Wrangler,White
81,60451,3,2002,True,Ford Bronco,Maroon
82,91663,5,1998,True,Jeep Wrangler,Yellow
83,51389,25,2006,True,Toyota RAV4,Yellow
84,131459,7,2016,True,Audi A6,Red
85,97797,34,1998,True,Jeep Wrangler,Red
86,112691,30,2010,True,Toyota Camry,White
87,71288,41,2007,True,Cadillac Escalade,Black
88,117468,15,2015,True,Nissan Altima,Black
89,74387,49,2006,True,Ford Escape,Green
90,95136,12,2003,True,Cadillac Escalade,Maroon
91,70621,8,2001,True,Toyota Sienna,Light Blue
92,59048,6,2010,True,Jeep Cherokee,Green
93,112002,5,2005,True,Honda Civic,Red
94,10995,14,2022,True,Dodge Challenger,Black
95,91620,48,2003,True,Jeep Cherokee,Blue
96,17684,18,2004,True,Jeep Cherokee,Grey
97,131225,43,2014,True,Audi A6,Grey
98,86953,44,2024,False,Toyota Corolla,Black
99,39806,27,2016,True,Toyota 4Runner,Light Blue
100,65427,27,2008,True,Toyota Camry,Black
101,101139,15,2013,True,Cadillac Escalade,Green
102,63597,3,2004,True,Toyota Sienna,Red
103,85758,37,2014,True,Toyota Corolla,Maroon
104,118382,13,2019,True,Nissan Altima,Red
105,59302,49,1999,True,Ford Escape,Grey
106,95214,31,2007,True,Audi A3,Maroon
107,139170,3,2018,True,Toyota 4Runner,Black
108,143509,14,2017,True,Toyota Corolla,Green
109,108530,38,2008,True,Toyota RAV4,Maroon
110,30740,11,2011,True,Toyota RAV4,Red
111,91486,9,2020,True,Chevrolet Tahoe,Black
112,114174,1,2021,True,Toyota Land Cruiser,Light Blue
113,111050,36,2008,True,Ford Escape,Red
114,121188,7,2010,True,Chevrolet Tahoe,Maroon
115,26680,33,2000,True,Toyota 4Runner,Yellow
116,144536,14,1999,True,Ford Expedition,Maroon
117,35643,43,1999,True,Nissan Altima,Blue
118,102005,24,1999,True,Chevrolet Tahoe,Light Blue
119,90899,45,2014,True,Jeep Cherokee,Black
120,81795,2,2020,True,Toyota Camry,Maroon
121,105263,6,2007,True,Toyota Camry,Grey
122,69460,20,1999,True,Jeep Cherokee,White
123,93678,31,2020,True,Audi A6,Maroon
124,45445,49,1999,True,Ford Expedition,Light Blue
125,42384,28,2001,True,Toyota Land Cruiser,Grey
126,137233,46,2024,False,Toyota Camry,Red
127,110584,22,2005,True,Toyota Camry,White
128,87855,5,2005,True,Ford Expedition,White
129,111627,14,2011,True,Ford Bronco,Black
130,83440,6,2024,False,Toyota RAV4,Light Blue
131,34377,8,2011,True,Honda Civic,Light Blue
132,17935,10,2012,True,Dodge Challenger,White
133,69175,23,2002,True,Toyota Sienna,White
134,107551,42,2008,True,Jeep Cherokee,Maroon
135,29185,36,2001,True,Toyota Land Cruiser,Blue
136,37820,13,2002,True,Jeep Wrangler,Light Blue
137,80186,14,2005,True,Honda Civic,White
138,86738,36,2013,True,Audi A6,White
139,64989,23,2016,True,Audi A6,Black
140,143508,7,1998,True,Ford Expedition,White
141,50866,16,2005,True,Ford Bronco,Black
142,115478,18,2000,True,Toyota Corolla,Light Blue
143,112958,15,1998,True,Toyota 4Runner,Grey
144,39291,19,2018,True,Jeep Wrangler,Black
145,82590,1,2023,False,Honda Civic,White
146,29269,23,1999,True,Ford Bronco,Maroon
147,51338,49,2003,True,Audi A6,Green
148,20809,3,2008,True,Toyota RAV4,Yellow
149,67257,45,2006,True,Ford Expedition,Black
150,53206,26,2013,True,Ford Escape,Light Blue
151,147432,23,2021,True,Audi A6,Maroon
152,27572,24,2012,True,Nissan Altima,Blue
153,67933,43,2006,True,Honda Civic,Blue
154,59457,48,2010,True,Honda Civic,Black
155,65132,21,2005,True,Ford Escape,Black
156,73884,17,2003,True,Nissan Altima,Red
157,32062,44,2007,True,Chevrolet Tahoe,Blue
158,125690,40,2019,True,Ford Expedition,White
159,108906,29,2009,True,Toyota RAV4,Green
160,54685,5,2010,True,Toyota Sienna,Maroon
161,82474,26,2000,True,Nissan Altima,Yellow
162,144808,38,2024,False,Chevrolet Tahoe,Light Blue
163,54604,48,2008,True,Toyota RAV4,Red
164,23545,15,2002,True,Dodge Challenger,White
165,35056,6,2002,True,Ford Bronco,Yellow
166,99689,37,2005,True,Cadillac Escalade,Green
167,139047,35,2011,True,Audi A6,Blue
168,27336,7,2017,True,Toyota RAV4,Light Blue
169,129509,3,2023,False,Honda Accord,Maroon
170,142584,21,2021,True,Toyota RAV4,Yellow
171,73599,41,2019,True,Cadillac Escalade,Green
172,90772,24,2024,False,Audi A3,Green
173,119076,48,2011,True,Audi A3,Maroon
174,5629,15,2019,True,Toyota Corolla,Blue
175,130861,28,2007,True,Audi A3,Grey
176,143239,3,2014,True,Honda Civic,Grey
177,25262,12,2020,True,Nissan Altima,Yellow
178,115291,50,2008,True,Honda Accord,Blue
179,95265,36,2008,True,Jeep Wrangler,Maroon
180,83784,31,1999,True,Toyota RAV4,White
181,84468,42,2004,True,Jeep Cherokee,Yellow
182,98320,24,2012,True,Nissan Altima,Green
183,17345,33,2010,True,Toyota Camry,Maroon
184,7087,14,2021,True,Toyota Sienna,Black
185,97591,41,1998,True,Toyota RAV4,White
186,17850,37,2007,True,Toyota Land Cruiser,Light Blue
187,50233,32,2023,False,Dodge Challenger,Black
188,65302,8,2004,True,Jeep Wrangler,Yellow
189,57323,9,2004,True,Toyota Land Cruiser,Grey
190,40189,22,2010,True,Ford Bronco,White
191,93802,18,2017,True,Honda Civic,Green
192,11178,37,2008,True,Dodge Challenger,Black
193,125605,9,2003,True,Honda Civic,Maroon
194,87384,48,2013,True,Nissan Altima,Green
195,40693,34,2021,True,Honda Civic,Blue
196,39245,31,2017,True,Toyota 4Runner,Light Blue
197,69812,34,2001,True,Toyota Camry,Blue
198,117774,2,2006,True,Toyota Land Cruiser,Yellow
199,123749,27,2020,True,Toyota Corolla,Light Blue
200,6536,30,1998,True,Jeep Wrangler,Black
201,91747,13,2009,True,Cadillac Escalade,Blue
202,126741,27,2020,True,Ford Bronco,Black
203,60029,7,2021,True,Ford Escape,Yellow
204,40365,40,2024,False,Toyota Corolla,Blue
205,30489,45,2022,True,Nissan Altima,Maroon
206,134774,10,2022,True,Jeep Cherokee,Red
207,132324,8,2022,True,Jeep Wrangler,Maroon
208,86825,14,2019,True,Toyota RAV4,Yellow
209,115871,33,2009,True,Dodge Challenger,Light Blue
210,105808,21,2009,True,Toyota RAV4,Black
211,23626,9,2003,True,Audi A6,Grey
212,26572,30,2015,True,Nissan Altima,Light Blue
213,59927,43,1999,True,Ford Expedition,White
214,6583,49,2022,True,Audi A6,Light Blue
215,72582,44,2003,True,Jeep Wrangler,Red
216,75987,17,2022,True,Toyota Sienna,Light Blue
217,48582,37,2023,False,Audi A3,Grey
218,145092,1,2017,True,Nissan Altima,Yellow
219,35948,26,2012,True,Toyota 4Runner,Grey
220,130322,21,2002,True,Ford Bronco,Grey
221,84075,50,2005,True,Chevrolet Tahoe,Grey
222,106029,31,2007,True,Toyota RAV4,Black
223,91714,38,2009,True,Honda Accord,Black
224,11130,15,2021,True,Toyota Land Cruiser,Grey
225,96354,23,2017,True,Honda Civic,Grey
226,133432,34,2002,True,Jeep Wrangler,White
227,133693,32,2014,True,Chevrolet Tahoe,Blue
228,114397,28,2012,True,Jeep Wrangler,Red
229,121555,38,1999,True,Honda Accord,Green
230,54137,48,2006,True,Jeep Cherokee,Maroon
231,139408,35,2007,True,Honda Civic,Yellow
232,118671,47,2015,True,Toyota Camry,White
233,81263,39,2022,True,Ford Expedition,Maroon
234,120859,49,2020,True,Audi A3,Black
235,57760,30,2017,True,Toyota Corolla,Black
236,138404,1,2010,True,Toyota RAV4,Green
237,23137,3,2017,True,Jeep Wrangler,Black
238,59579,12,2012,True,Cadillac Escalade,White
239,113465,18,2023,False,Honda Accord,Green
240,76279,40,2021,True,Audi A3,Maroon
241,30126,45,2017,True,Jeep Cherokee,Blue
242,130834,33,2013,True,Chevrolet Tahoe,Grey
243,31669,41,2016,True,Audi A3,Maroon
244,136707,15,2002,True,Honda Civic,Green
245,95018,44,2001,True,Honda Civic,Black
246,50654,16,2010,True,Chevrolet Tahoe,Yellow
247,81610,50,2002,True,Chevrolet Tahoe,Grey
248,10698,29,2008,True,Toyota Camry,Yellow
249,132339,16,2018,True,Toyota RAV4,Blue
250,65189,13,2005,True,Toyota Corolla,White
251,36948,45,2019,True,Audi A3,Blue
252,133317,49,2002,True,Jeep Cherokee,Grey
253,66925,12,2017,True,Honda Accord,White
254,93621,41,2009,True,Honda Civic,Blue
255,97626,13,2013,True,Jeep Wrangler,Maroon
256,149425,9,2024,False,Audi A3,Black
257,62365,32,2012,True,Toyota RAV4,Black
258,143939,39,2010,True,Honda Civic,Green
259,126738,22,2017,True,Ford Escape,Green
260,35431,11,2020,True,Jeep Cherokee,White
261,52752,34,2008,True,Toyota RAV4,Green
262,74379,8,2007,True,Toyota RAV4,Grey
263,36444,7,2014,True,Toyota Camry,White
264,35316,29,2022,True,Toyota 4Runner,Red
265,6911,50,2001,True,Toyota Corolla,Light Blue
266,107000,48,2015,True,Toyota Camry,Light Blue
267,135291,41,2013,True,Nissan Altima,Yellow
268,10172,42,2006,True,Toyota Land Cruiser,Light Blue
269,135566,42,2010,True,Audi A3,Red
270,81359,21,2004,True,Ford Expedition,Grey
271,40564,27,2004,True,Audi A6,Maroon
272,32854,42,2016,True,Toyota Camry,White
273,62795,3,2017,True,Toyota RAV4,Light Blue
274,33658,4,2012,True,Toyota RAV4,Green
275,70626,23,2020,True,Toyota 4Runner,Yellow
276,37525,48,2018,True,Dodge Challenger,Light Blue
277,145450,44,2003,True,Toyota Corolla,Maroon
278,5155,48,2013,True,Toyota RAV4,Red
279,48212,50,2022,True,Toyota 4Runner,Grey
280,51826,19,2003,True,Toyota 4Runner,Black
281,143070,7,1999,True,Audi A6,Red
282,20492,24,2015,True,Nissan Altima,Green
283,8387,50,2024,False,Audi A3,Blue
284,108965,7,1999,True,Audi A3,Blue
285,11415,39,2011,True,Chevrolet Tahoe,Black
286,42359,14,1998,True,Toyota Corolla,Light Blue
287,87960,12,2002,True,Ford Expedition,Grey
288,109702,5,2015,True,Honda Accord,Green
289,133719,26,2014,True,Ford Expedition,White
290,51981,48,2018,True,Toyota Land Cruiser,White
291,112246,34,2020,True,Chevrolet Tahoe,Black
292,102481,21,2013,True,Cadillac Escalade,White
293,138127,11,2016,True,Ford Expedition,White
294,95927,20,1999,True,Cadillac Escalade,Green
295,122212,40,2009,True,Ford Escape,Maroon
296,45780,9,2018,True,Toyota Camry,Black
297,68188,40,2000,True,Toyota Sienna,Blue
298,135399,7,1999,True,Audi A6,Grey
299,55731,7,2019,True,Chevrolet Tahoe,Grey
300,20593,22,2009,True,Ford Escape,Grey
301,145373,21,1998,True,Ford Expedition,Black
302,39802,44,1998,True,Dodge Challenger,Black
303,129187,3,2001,True,Jeep Cherokee,Black
304,69990,16,2022,True,Toyota RAV4,White
305,35437,34,2014,True,Honda Accord,Green
306,149983,3,2000,True,Toyota Land Cruiser,Yellow
307,13032,27,2016,True,Ford Escape,Red
308,83331,34,2006,True,Audi A3,Black
309,118142,8,2008,True,Dodge Challenger,Green
310,46778,39,2022,True,Ford Escape,Grey
311,99947,17,2001,True,Ford Bronco,Maroon
312,132960,24,2020,True,Toyota RAV4,Green
313,130193,46,2010,True,Dodge Challenger,Black
314,42679,6,2014,True,Nissan Altima,Grey
315,110436,49,1998,True,Toyota Sienna,Light Blue
316,66757,21,2015,True,Cadillac Escalade,Light Blue
317,109029,14,2013,True,Toyota 4Runner,Light Blue
318,142333,4,2019,True,Toyota Sienna,Grey
319,78906,18,2005,True,Chevrolet Tahoe,White
320,72677,11,2016,True,Audi A6,White
321,106436,13,2021,True,Cadillac Escalade,Grey
322,92942,7,2014,True,Toyota 4Runner,Blue
323,86118,37,1998,True,Audi A6,Red
324,54365,12,2013,True,Toyota Corolla,Yellow
325,42651,15,2018,True,Toyota Sienna,Maroon
326,9362,11,2010,True,Ford Bronco,Blue
327,109070,18,2014,True,Nissan Altima,Green
328,30260,18,2023,False,Toyota Sienna,Blue
329,11609,28,2012,True,Toyota 4Runner,Black
330,120748,46,2002,True,Ford Expedition,Yellow
331,90234,4,2016,True,Toyota Land Cruiser,Light Blue
332,115866,36,2009,True,Audi A3,Light Blue
333,38622,16,2003,True,Nissan Altima,Black
334,125366,13,2004,True,Honda Accord,Red
335,60403,44,1999,True,Ford Expedition,Black
336,118292,17,2023,False,Toyota Camry,White
337,58432,16,2001,True,Audi A6,Light Blue
338,18463,28,2016,True,Toyota Sienna,White
339,18274,48,2006,True,Audi A3,Light Blue
340,26192,26,2007,True,Toyota Camry,White
341,76060,18,2001,True,Audi A6,White
342,126423,6,2001,True,Jeep Cherokee,Maroon
343,143045,32,2004,True,Cadillac Escalade,White
344,91998,33,2008,True,Audi A3,Red
345,83668,34,2010,True,Audi A3,Green
346,148560,16,2014,True,Toyota Land Cruiser,Grey
347,137028,12,2022,True,Ford Expedition,Blue
348,89724,24,2015,True,Nissan Altima,Blue
349,97002,5,2009,True,Toyota Land Cruiser,Red
350,32130,33,2013,True,Ford Expedition,White
351,131229,36,2008,True,Toyota RAV4,Grey
352,122990,36,2021,True,Toyota 4Runner,Red
353,73532,26,2002,True,Toyota Camry,Maroon
354,90850,13,2004,True,Jeep Cherokee,Green
355,30654,2,2018,True,Chevrolet Tahoe,White
356,46981,47,2006,True,Toyota RAV4,Green
357,142844,18,2006,True,Cadillac Escalade,Maroon
358,146666,18,2011,True,Audi A3,Blue
359,76476,33,2008,True,Toyota 4Runner,Green
360,45124,28,2009,True,Jeep Wrangler,White
361,24440,19,2022,True,Dodge Challenger,Yellow
362,16436,19,2007,True,Audi A3,Grey
363,90111,32,2013,True,Chevrolet Tahoe,Maroon
364,111708,2,2014,True,Chevrolet Tahoe,Light Blue
365,29152,7,2005,True,Toyota Land Cruiser,Green
366,32085,35,2014,True,Audi A3,White
367,103878,32,2001,True,Ford Bronco,Red
368,68291,21,2023,False,Jeep Wrangler,Grey
369,30379,31,2000,True,Toyota Sienna,Grey
370,134027,49,2006,True,Toyota Sienna,White
371,104317,35,2002,True,Toyota Sienna,White
372,116563,21,2006,True,Toyota 4Runner,Light Blue
373,84658,37,2023,False,Chevrolet Tahoe,Grey
374,18152,46,2008,True,Toyota 4Runner,Black
375,77287,16,2005,True,Toyota Camry,Maroon
376,41784,22,2002,True,Toyota 4Runner,Yellow
377,32524,2,2017,True,Cadillac Escalade,Maroon
378,121304,12,2023,False,Honda Civic,Light Blue
379,101028,22,2003,True,Ford Escape,White
380,85031,40,2019,True,Jeep Wrangler,Black
381,73738,28,2001,True,Honda Civic,Blue
382,36581,1,2018,True,Audi A6,Red
383,53343,14,2016,True,Audi A3,White
384,35948,44,2021,True,Honda Accord,White
385,128143,4,2009,True,Jeep Cherokee,Blue
386,61650,36,2007,True,Jeep Wrangler,Black
387,105606,26,2015,True,Ford Escape,White
388,18982,16,2023,False,Ford Bronco,White
389,134896,18,2005,True,Chevrolet Tahoe,Light Blue
390,34543,49,2006,True,Jeep Wrangler,Light Blue
391,92558,2,2001,True,Ford Bronco,Yellow
392,140362,21,2017,True,Toyota 4Runner,Yellow
393,134336,18,2014,True,Toyota Camry,Blue
394,144080,4,2006,True,Honda Accord,Blue
395,39422,22,2000,True,Chevrolet Tahoe,Light Blue
396,92727,30,2013,True,Honda Civic,Grey
397,105461,1,2015,True,Toyota Camry,Black
398,103778,45,2014,True,Honda Accord,Red
399,116743,5,2023,False,Toyota Camry,Light Blue
400,28956,28,2008,True,Toyota Camry,White
401,100906,23,2006,True,Toyota Sienna,Light Blue
402,93423,44,2020,True,Honda Accord,Green
403,77404,2,2013,True,Jeep Cherokee,Red
404,87980,31,2020,True,Toyota Land Cruiser,Maroon
405,20823,7,2013,True,Toyota Camry,Green
406,30776,1,2015,True,Toyota Corolla,Green
407,82640,50,2009,True,Nissan Altima,Green
408,21446,19,2015,True,Jeep Wrangler,Yellow
409,10164,50,2000,True,Ford Escape,Grey
410,38063,1,2003,True,Honda Civic,Blue
411,109738,37,2013,True,Chevrolet Tahoe,Black
412,82059,29,2002,True,Ford Escape,Red
413,95626,20,2001,True,Audi A6,Grey
414,96596,35,2009,True,Jeep Wrangler,Green
415,117835,38,2006,True,Honda Accord,Grey
416,98636,21,2000,True,Toyota 4Runner,Grey
417,99255,16,2020,True,Honda Civic,Blue
418,21326,7,2000,True,Audi A3,Blue
419,124065,5,2010,True,Nissan Altima,Grey
420,87507,38,2021,True,Nissan Altima,Grey
421,139538,15,2015,True,Cadillac Escalade,Grey
422,136151,36,2021,True,Ford Escape,Blue
423,86687,2,2001,True,Ford Expedition,Blue
424,23299,29,2020,True,Ford Escape,Maroon
425,91060,39,2007,True,Honda Accord,Light Blue
426,41498,26,2019,True,Dodge Challenger,Grey
427,114506,33,2023,False,Toyota Sienna,Black
428,60928,48,1998,True,Chevrolet Tahoe,Blue
429,24003,20,1999,True,Honda Civic,White
430,105659,48,2012,True,Chevrolet Tahoe,Maroon
431,16703,50,2023,False,Dodge Challenger,Maroon
432,41014,37,2012,True,Ford Bronco,Red
433,139161,26,2016,True,Nissan Altima,Black
434,19656,40,2002,True,Audi A6,Maroon
435,120615,38,2014,True,Nissan Altima,Light Blue
436,9243,44,2007,True,Ford Expedition,Blue
437,50879,23,2011,True,Ford Expedition,Black
438,98999,38,2005,True,Toyota Corolla,Grey
439,20731,13,2015,True,Audi A6,Blue
440,10364,15,2016,True,Toyota Corolla,Light Blue
441,108033,28,2024,False,Toyota 4Runner,Maroon
442,78071,21,2019,True,Audi A6,Maroon
443,145710,17,2016,True,Ford Escape,Red
444,43210,22,2019,True,Ford Escape,White
445,28522,38,2006,True,Ford Expedition,Maroon
446,48586,43,2001,True,Jeep Cherokee,White
447,8958,14,2011,True,Cadillac Escalade,Blue
448,88509,47,2009,True,Nissan Altima,Blue
449,87381,20,2014,True,Toyota Corolla,Light Blue
450,148854,21,2022,True,Dodge Challenger,Light Blue
451,41289,4,2000,True,Chevrolet Tahoe,Green
452,138866,18,2007,True,Ford Expedition,Maroon
453,123807,23,2004,True,Audi A6,Black
454,78055,22,2005,True,Jeep Wrangler,Maroon
455,118986,14,2020,True,Ford Expedition,Green
456,99849,50,2012,True,Cadillac Escalade,Red
457,54532,28,2014,True,Nissan Altima,Light Blue
458,149367,14,2006,True,Toyota Corolla,Light Blue
459,136754,13,2012,True,Nissan Altima,Yellow
460,45961,32,2016,True,Jeep Cherokee,Maroon
461,28083,38,2001,True,Toyota Land Cruiser,Light Blue
462,135445,47,2024,False,Toyota Land Cruiser,Maroon
463,18313,16,2001,True,Jeep Cherokee,Green
464,79135,42,1998,True,Toyota Camry,Maroon
465,136653,13,2004,True,Chevrolet Tahoe,Blue
466,16213,7,2007,True,Dodge Challenger,Red
467,112286,2,1998,True,Toyota Corolla,Light Blue
468,91208,42,2009,True,Dodge Challenger,Maroon
469,33209,45,2019,True,Jeep Wrangler,Maroon
470,81130,43,2005,True,Jeep Wrangler,Grey
471,136618,37,2005,True,Ford Escape,Blue
472,104356,37,2022,True,Toyota Land Cruiser,Grey
473,44154,3,2014,True,Toyota 4Runner,Green
474,23668,26,2016,True,Ford Bronco,Blue
475,29063,6,2020,True,Audi A3,Grey
476,39137,20,2011,True,Ford Expedition,Green
477,49529,7,2009,True,Honda Civic,Red
478,61397,48,2020,True,Dodge Challenger,White
479,110728,16,2021,True,Audi A6,Maroon
480,74873,25,2005,True,Dodge Challenger,Maroon
481,95651,2,2013,True,Audi A3,Black
482,102243,37,2019,True,Toyota Camry,Blue
483,43410,9,2005,True,Toyota 4Runner,Blue
484,101464,46,2011,True,Audi A3,Black
485,141799,26,2014,True,Ford Expedition,Light Blue
486,99096,26,2011,True,Toyota Land Cruiser,Light Blue
487,120609,9,2004,True,Jeep Wrangler,Black
488,56145,1,2001,True,Nissan Altima,Grey
489,46897,11,2014,True,Ford Bronco,Yellow
490,59824,42,2000,True,Toyota RAV4,Blue
491,50746,41,2007,True,Audi A3,Yellow
492,124509,35,2020,True,Toyota Land Cruiser,White
493,105097,27,2023,False,Jeep Wrangler,Yellow
494,65992,31,2001,True,Toyota Sienna,White
495,120645,32,2003,True,Ford Bronco,Blue
496,74333,44,2019,True,Audi A3,Blue
497,89919,25,2022,True,Chevrolet Tahoe,Blue
498,134570,3,2022,True,Audi A6,Blue
499,125246,44,2002,True,Honda Civic,Red
500,86316,1,2013,True,Toyota RAV4,Black
501,9782,10,2007,True,Ford Escape,Light Blue
502,107703,7,2007,True,Toyota RAV4,Blue
503,140651,40,2006,True,Dodge Challenger,Yellow
504,70397,40,2007,True,Toyota 4Runner,Grey
505,62441,34,2023,False,Toyota Land Cruiser,Blue
506,101897,21,2011,True,Nissan Altima,Blue
507,15643,35,2004,True,Audi A3,Maroon
508,108721,3,2012,True,Toyota Sienna,Grey
509,115343,11,2012,True,Ford Expedition,Yellow
510,86669,31,2005,True,Cadillac Escalade,Light Blue
511,50489,38,2008,True,Audi A3,Maroon
512,82160,32,2017,True,Honda Accord,Yellow
513,129315,46,2019,True,Ford Bronco,Yellow
514,45754,40,2013,True,Ford Bronco,Red
515,43065,9,2001,True,Ford Escape,Green
516,96928,28,2001,True,Toyota Corolla,Green
517,27611,3,2004,True,Toyota 4Runner,Black
518,142218,7,2024,False,Dodge Challenger,Light Blue
519,109525,6,2017,True,Toyota RAV4,Black
520,13689,25,2004,True,Toyota Land Cruiser,Red
521,99688,15,2016,True,Toyota 4Runner,White
522,136616,10,2019,True,Toyota Sienna,Light Blue
523,40379,24,2003,True,Audi A6,Blue
524,74254,20,2010,True,Ford Expedition,Red
525,49007,19,2001,True,Nissan Altima,Green
526,114735,38,2005,True,Toyota Corolla,Red
527,94221,1,2002,True,Jeep Wrangler,White
528,38431,24,2005,True,Cadillac Escalade,Red
529,145112,24,2003,True,Toyota Camry,Green
530,49259,38,2018,True,Nissan Altima,Green
531,147579,13,2007,True,Honda Civic,Light Blue
532,66411,38,2002,True,Cadillac Escalade,Yellow
533,25847,33,2000,True,Audi A6,Grey
534,109006,36,2005,True,Toyota 4Runner,Blue
535,14631,47,2015,True,Chevrolet Tahoe,Yellow
536,79191,21,2016,True,Ford Bronco,White
537,56461,32,2011,True,Jeep Wrangler,Yellow
538,117493,44,2022,True,Toyota Land Cruiser,Maroon
539,106466,41,1999,True,Jeep Cherokee,Red
540,115832,24,2000,True,Honda Accord,Yellow
541,149715,20,2018,True,Cadillac Escalade,Light Blue
542,147077,3,2003,True,Cadillac Escalade,Grey
543,15148,42,2018,True,Toyota Camry,White
544,54226,12,2007,True,Honda Accord,Blue
545,128860,34,2010,True,Chevrolet Tahoe,Black
546,10252,44,2018,True,Ford Expedition,Maroon
547,117656,9,2022,True,Toyota Land Cruiser,Grey
548,41172,34,2007,True,Chevrolet Tahoe,Light Blue
549,129435,47,2020,True,Toyota Corolla,White
550,42811,37,2004,True,Ford Expedition,Green
551,70360,6,2007,True,Toyota Camry,Red
552,148132,27,2002,True,Chevrolet Tahoe,Red
553,65708,47,2020,True,Toyota Corolla,Red
554,136151,25,2008,True,Ford Expedition,Black
555,93271,3,2019,True,Honda Civic,Yellow
556,146367,24,2023,False,Dodge Challenger,Green
557,63678,9,2003,True,Jeep Wrangler,White
558,81784,10,2012,True,Audi A6,White
559,65444,4,2009,True,Ford Bronco,Blue
560,85997,10,2004,True,Audi A3,Light Blue
561,52639,33,2023,False,Audi A6,Grey
562,49023,7,2016,True,Honda Civic,Blue
563,30026,8,2005,True,Toyota RAV4,Maroon
564,134532,8,2003,True,Audi A6,Maroon
565,77076,42,2009,True,Honda Accord,Blue
566,24715,43,2010,True,Toyota Land Cruiser,Maroon
567,38142,27,2014,True,Cadillac Escalade,Black
